bp_arch;bp_compiler;bp_opt;branch_id_str;branch_prefix;component;jobs;lag_max_rss_g1_w1;lag_max_rss_global_w5;localJobs;location;makeType;memreq_gb;target_cnt;target_has_dist;ts_dayofyear;ts_dow;ts_hour;ts_month;ts_weekofyear;ts_year;time;max_rss_gb_true;max_rss_class_true
linuxx86_64;gcc;optimized;213;branch;component_0;1000;25860907008.0;48371639910.4;36;location_1;opt;184.25;2;1;175;1;17;6;26;2025;2025-06-24 17:42:32.757;22.673683166503906;0
linuxx86_64;gcc;optimized;100;branch;component_0;500;24345681920.0;32891215052.8;36;location_0;opt;153.0;1;0;175;1;17;6;26;2025;2025-06-24 17:42:36.713;76.12820053100586;1
linuxx86_64;gcc;debug;4;branch;component_0;1000;34126798848.0;41334353100.8;36;location_1;dbg;304.25;1;0;175;1;17;6;26;2025;2025-06-24 17:42:43.791;42.764915466308594;0
linuxx86_64;gcc;optimized;162;branch;component_0;500;81742032896.0;43692688998.4;36;location_0;opt;153.0;1;0;175;1;17;6;26;2025;2025-06-24 17:42:56.315;75.51861190795898;1
linuxx86_64;gcc;optimized;405;branch;component_0;1000;81087492096.0;54738006016.0;36;location_1;opt;184.25;2;1;175;1;17;6;26;2025;2025-06-24 17:44:23.321;28.422378540039062;0
linuxx86_64;gcc;optimized;300;branch;component_0;500;30518296576.0;52722396364.8;36;location_0;opt;153.0;1;0;175;1;17;6;26;2025;2025-06-24 17:45:27.486;69.6342658996582;1
linuxx86_64;gcc;optimized;4;branch;component_0;1000;74769223680.0;62807104716.8;36;location_1;opt;184.25;2;1;175;1;17;6;26;2025;2025-06-24 17:45:49.767;37.013668060302734;0
linuxaarch64;gcc;release;413;branch;component_1;500;14757982208.0;54407322828.8;36;location_2;rel;153.0;1;1;175;1;17;6;26;2025;2025-06-24 17:46:55.538;42.13162612915039;0
linuxx86_64;gcc;optimized;162;branch;component_0;500;39743123456.0;54271324979.2;36;location_0;opt;153.0;2;1;175;1;17;6;26;2025;2025-06-24 17:47:16.012;71.31305694580078;1
linuxx86_64;gcc;optimized;221;branch;component_0;500;76571811840.0;53368188928.0;36;location_0;opt;153.0;2;1;175;1;17;6;26;2025;2025-06-24 17:47:18.442;78.49125671386719;1
linuxx86_64;gcc;optimized;172;branch;component_0;1000;84279345152.0;64120398643.2;36;location_1;opt;184.25;2;1;175;1;17;6;26;2025;2025-06-24 17:47:20.666;46.25634765625;0
